id,tst_2024,age_2024,sex_2024,ethnicity_simplified_2024,country_of_birth_2024,country_of_residence_2024,nationality_2024,language_2024,student_status_2024,employment_status_2024,fluent_languages_2024,tst_2025,age_2025,sex_2025,ethnicity_simplified_2025,country_of_birth_2025,country_of_residence_2025,nationality_2025,language_2025,student_status_2025,employment_status_2025
train_0017,I'm a guy who is trying to find himself. I'm a person who has lots of ideas but cannot put them together. I see a lot of opportunities passing by due to me being complacent and being scared of taking risks. I'm a shy guy but can be very sociable if i'm talking to you and feel verify comfortable. I believe there is a lot there for me.,31,Male,Black,United States,United States,United States,English,No,Full-Time,English,"Out of touch
Excited 
Lost
Hustling 
Finding myself 
Easy going 
Fun
Quirky
Gogether 
Procrastinator 
Stubborn 
Shy
Bored
Lazy
Tempered 
Rich
Helpful 
Benevolent",33,Male,Black,United States,United States,United States,English,No,
train_0018,"I am a single adult female living in the USA. I grew up in the country on a farm and have a four year college degree. I work at a university about a half hour drive from my home. I lived in many different places as an adult and recently set up my permanent home in my home town. I'm happy to be back in the town I grew up in, but think seeing the world was very important. I have always loved animals and have an animal type job as well as pet cats. I see my family almost every day, family closeness is important.",58,Female,White,United States,United States,United States,English,No,Full-Time,English,"I am a white american female. I am slightly past middle age and own my home in the country. I never married and never had children. I have worked all my life, as a child on the family farm and as a teenager and adult in many varying occupations. I love peace and quiet and being in nature. I like to take an early morning walk and photograph plants, insects, and scenery. I enjoy feeding wild birds, hummingbiirds in summer and varying birds in winter with seeds. I have always loved animals and have owned dogs, cats, horses, fish, frogs, as well as cared for all types of farm animals.I live alone and prefer it that way, I appreciate the peace and quiet, and no one is messing with my stuff. I live next to my mother, brother, neice and her husband. I am glad to live close to family, but still have my own home to live in. I have a sweet tooth and lately have been eating fancy ice cream bars every day. I used to drink almost every day since I was a teenager, but stopped entirely last year. I do not miss alcohol at all and regret the damage done to myself over those years. I work full time at a university supporting the functions of a research department. I do feel appreciated there and feel I am making a positive difference to the daily operations. I hope to retire in a few years and take on some part time work closer to my home. I have worked at the same institutiion for almost twenty years.",59,Female,White,United States,United States,United States,English,No,Full-Time
train_0019,"I am a man.  I am in my 60's.  I am a husband, a father, and the son of my parent.  I am a keeper of animals.  I am a high functioning person with Asperger's.  I am a very good chess player.  I have many skills.  I have founded companies:  a software company, and a restaurant.  I'm a very good cook.",63,Male,White,United States,United States,United States,Lithuanian,No,Full-Time,"English, Lithuanian","Husband
Father
Created by God
Believer in God
Engineer
manager
Intelligent 
Curious 
Focused
Doer
Driven",64,Male,White,United States,United States,United States,Lithuanian,No,Full-Time
train_0020,"A man.
Masculine based on cultural narratives in film and both Latin and American culture.
I believe in doing the right thing.
A man's word is his bond.
Speak the truth always.
Medium height and weight.
Finder of enjoyment in various cultures.
Lover of Chinese food.
Passionate lover.
An old-fashioned romantic.
I open doors for women.
I earn my keep.
I care for myself.
I believe in true love.
I don't steal.
My appearance reflects me.
I want to contribute to society.
Superheroes are role models.
I believe the greatest strength comes from within.
Water seeks it's own level.",65,Male,Other,United States,United States,United States,English,No,Part-Time,English,"A human being
A man
in my later years
creative in many ways
enjoy cooking
an avid reader
Of hispanic heritage
proud of my American nationality
humbled by my culture's flaws
a good listener
respectful of other cultures
always ready for a fun time
empathetic of the suffering of others
Some who experienced much loss
the last of my immediate family
spiritual
less than my full potential
a failure at times
hopeful of the future
physically ill",66,Male,Other,United States,United States,United States,English,No,Other
train_0021,I am a mother. I am a daughter. I am a grandmother. I am an employee. I am kind. I am caring. I am hard working. I'm artistic. I'm funny. I'm a friend. I love animals. I'm older. I love music. I am a person who loves nature. I love Halloween. I live in the south. I love fall and winter. I'm easy going.im loving. I'm careful. I'm unselfish.,58,Female,White,United States,United States,United States,English,No,Full-Time,English,"Who am I? I'm loving, caring, expressive, artistic. I love animals and I help local animal rescues.  I'm a mother, daughter, grandmother and friend. My family is very important to me as well as my relationships with my friends. I'm a dog groomer and I love transforming the look of people's pets. I've dealt with a lot of pain throughout the years, I've been divorced twice.",60,Female,White,United States,United States,United States,English,No,Full-Time
train_0022,"I am a software developer.
I am a university  undergraduate.
I am a son.
I am a child of my mother.
I am a nephew.
I am someone's cousin.
I am an insightful person.
I am a game enjoyer.
I am someone who enjoys technology.
I am someone who enjoys learning new things.
I am someone who thinks in terms of the bigger picture.
I am someone who is good at reading between the lines.
I am someone who works out.
I am someone that has a sense of discipline.
I am a guy.
I am a human.
I am someone with a computer science degree.
I am someone who can trust their gut feelings and have them be correct more than half of the time.
I am someone who has moved to a different state at one point in their life.
I am a friend.",32,Male,Other,United States,United States,United States,English,,,English,I am a University graduate. I am someone who's good with tech. I am someone's son. I am someone's cousin. I am someone's nephew. I am someone who likes tinkering with new technologies. I am someone who enjoys playing games. I am a human being. I am someone who struggles with taking the first step but once I do I see whatever it is that I'm doing through to completion. I am someone who values promises. I am someone who is typically very forgiving. I am someone who usually gives others the benefit of the doubt. I am someone who likes to help others. I am someone who likes money. I am a person who hates being betrayed. I am someone's grandchild. I am an independent. I am someone who's just trying to get by in life just like everyone else. I am someone who has knowledge of sports because I used to participate in them but I don't participate in them anymore. I am someone's friend.,34,Male,Other,United States,United States,United States,English,,
train_0023,"1.  i'm an author, a writer
2.  i'm a philosopher, i have a formal philosophy, with an ethics
3.  i'm a poet
4.  i'm the son of my mother
5.  i'm the sone of my father
6.  both my parents are dead, and that has changed me and is part of me now
7.  i have five dogs, and i love them dearly
8.  i am worried about the future, and that is a part of me
9.  i think about the past and try to find out where i should cut the line that makes me what i am now, and what i will be shortly
10.  i'm old and i'm tired of the shit
11.  but i understand the shit, including what i used to put out, what was an expression of me
12.  i am amazed at what i think i understand about the universe and the world as i now see it, and what i am in that context
13.  i am an atheist and not an anti-theist; and this means that i believe responsibility devolves on the people in this world, and that justice only comes among us, the people
14.  i am one of the people
15.  i am curious to know more about the universe, its ways and means and physics and mathematics and logic
16.  i am to some degree a mathematician, and a logician; the two areas are not exactly the same
17.  i am remote from most people, and i am comfortable with that now
18.  i try to have some forgiveness in me for the slights and arrows i have suffered, but i know that that only goes so far - i am not the most forgiving person, and i'm fine with that
19.  i am still angry to some degree, the anger of adolescence has followed me even to the now
20.  i am a musician",64,Male,White,United States,United States,United States,English,,,English,"i am a man, 65 years of age.  i am educated with a background in English, Music, and Psychology.  i have a formal philosophy i have been working on for the past 50 or so years and i believe i might actually get it to the finish line while i'm still alive - axioms and applications, to some degree.  if not, then i'll finish it while i'm dead.  that should take a while.  also, i have a sense of humor.  somewhere.  i put it around here, somewhere.  this is the position of the 10th question:  i have five dogs, except that my sister actually has them.  i love my dogs very much.  i still love my kid sister very much, even though she stabbed me in the back and took my home and now i'm living in my car.  i was our mother's caregiver for the last five years of her life.  she had alzheimer's.  day-in-and-day-out, year after year, and we had all agreed that i would live out my life caring for my mom's survivingf dogs, and the two my sister (yes, still that sister) would bring me to foster but which never got away.  i'm just trying to live right now, looking for yeat another place to sleep because it's not lawful in many places to sleep in your car, walmart's included, nowadays - it's the municipality you're in and the state you're in, and none in the union are kind to the homeless, i have found out.  that's probably about 20 questions, if you count the substantive phrases and clauses.",65,Male,White,United States,United States,United States,English,No,Other
train_0024,"I am a realtor
 I am an uncle
I am a son
I am a brother
i am a Christian
I am a Democrat
I am an American
I am a New Yorker
I am a sports fan
I am a knick fan
I am a Dodger fan
I am a packer fan
I am an organic grower
I am an organic eater
I am a reader of mysteries
I am a fan of tech
I use AI
I am an exerciser
I am a climate worrier",70,Male,White,United States,United States,United States,English,,Full-Time,English,"worker, realtor, son, godfather, brother, boyfriend, catholic democrat, consumer, player.
watcher, sports fan, horse racing fan, gardener exerciser, driver, owner, swimmer, diligent, comedian",72,Male,White,United States,United States,United States,English,,
train_0025,"I’m a young woman.
A white woman.
I’m a red head.
I’m self disciplined.
I’m an extrovert.
I’m outgoing. 
I’m funny.
I’m like able.
I’m different.
I’m one of a kind.
I’m well spoken.
I’m also a hard worker.
Im a critical thinker.
I’m a problem solver.
I’m an enthusiast.
I’m happy.
I’m sometimes crazy.
I’m smart.
I’m capable.
I’m also rational.",24,Female,White,United States,United States,United States,English,No,Part-Time,English,"I am a red head.
I have blue eyes.
I am really pale.
I’m a well educated woman.
I am easy to get along with.
I’m a good listener as well as a great friend.
I’m a very giving person. 
I am very adaptable.
Also adventurous.
Spontaneous but I try to be smart about it.
I’m not one to make plans.
I sometimes like to take risks but nothing that is too crazy.
I catch on to learning new things quickly.
I sometimes am funny.
I have been told I’m too honest or sometimes come off rudely even though I don’t intend too.
I’m not one to care about anyone else’s opinions.
I am good hearted person.
I go out of my way to help others.
I always see potential in others.",25,Female,White,United States,United States,United States,English,No,Full-Time
train_0026,"Smart, friendly, compassionate, calm, pleasant, nice, friendly, assertive, outgoing, respectful, reserved, peaceful, unassuming, liberal, helpful,determined, sensitive, inquisitive, intuitive, caring",59,Female,Black,United States,United States,United States,English,No,Full-Time,English,"Loving, caring, intuitive, knowlegable, loyal, dedicated, committed, brave, daring, introverted, assertive, passive, fighter, inquisitive, artist, healer, spiritual, religious, noble, thinker, learner, hard worker, free thinker, female, African-American, elder, short, plump.",60,Female,Black,United States,United States,United States,English,,
train_0027,"I am kind. I am passionate about animal welfare. I am compassionate. I could be considered the ""bleeding heart"" type, so to speak. I am sincere. I am an introvert. I enjoy the simple pleasures in life. I do not consider myself an ambitious person but rather one who just simply seeks happiness and peace. I love to read and watch TV and movies. I can be indecisive. I am a bit disorganized. I am very self-critical. I can be self-conscious. I am a good listener. I can be impatient. I can be stubborn. I worry more than I should. I love deeply. I am empathetic. I am uniquely me, and I'm ok with that.",39,Female,White,United States,United States,United States,English,No,,English,I am an animal lover. I am a nature and wildlife lover. I am a peace seeker. I am a daughter. I am a sister. I am a daydreamer. I am a curious soul. I am a sensitive soul. I am a complex person who seeks to live a simple life. I enjoy the simple pleasures in life. I seek joy and gratitude in each day. I strive to be empathetic and compassionate. I love TV shows and movies. I love reading and being cozy. I love rainy days. I am okay with solitude. I am growing and changing. I seek purpose. I am faithful. I am stronger than I realize.,40,Female,White,United States,United States,United States,English,,
train_0028,"Fun smart intelligent Christian grandma mom, aunt, loyal tall, old, hilarious, wrinkly, skinny, headachy, dodgers, lover, mystery book lover",63,Female,White,United States,United States,United States,English,No,,English,"I am a woman, mother, grandmother, Christian.  I am smart, kind, very funny and can crack anybody up.  I am an urbanite, I am also a small town girl.  I am suspicious, clever, and interesting. I am also, medium height, medium weight, I am older than dirt, but younger than Heaven. I am always happy, always smiling, and lastly, I am done,",64,Female,White,United States,United States,United States,English,,
train_0029,"Black
Male
American
Middle aged
Anime fan
Football player 
Full time employee 
Heterosexual 
In a relationship 
Some college
Supervisor 
Authentic 
Humble
Loving",34,Male,Black,United States,United States,United States,English,,Full-Time,English,"I am a black man.
I am a recovering addict. 
I am a son.
I am a loving husband. 
I am antisocial. 
I am creative. 
I am an anime nerd.
I am prideful.
I am logical.
I am stoic.
I listen more than I talk.
I am true friend.
I am a gun enthusiast.",35,Male,Black,United States,United States,United States,English,No,Full-Time
train_0030,"A mom
A teacher
A woman
American
Bible believing 
A grandmother
Loving
Professional
Professor
A wife
Special
Hard working
Capable
Enough 
A Floridian
Flawed
Florida native 
Honest
Real
Amazing",54,Female,White,United States,United States,United States,English,No,Full-Time,English,"I am a Christian. 
I am a wife. 
I am a mother. 
I have 6 kids.
 I have adopted 3 kids. 
I have 3 biological kids. 
I work in education. 
I am female. 
I am a professor. 
I have a masters degree. 
I live in the US. 
I live in Florida. 
I care about people. 
I am kind
I like to exercise
I like to cook
I have 2 dogs. 
I like to travel to different countries 
I like to learn about other cultures",55,Female,White,United States,United States,United States,English,No,Full-Time
train_0031,"I am very creative and resourceful
I love to read thriller and sci-f books
I am sometimes very shy and other times very bold.
I am getting older but I do not feel that old
I have always been very short and when I was young it bothered me but not any more.
I have had very short straight hair 90% of my life then in my fifties it started to grow and became curly.
I am part Indian but also part German
I have skin that gets very dark in the summer.
I love to be outdoors gardening.
I love to play softball and volleyball.
I am very religious I totally believe in Jesus and God
I am terrified of small bugs like earwigs and I do not like cicadas 
I hate to drive especially at night and I can not drive for more than 2 hours
I love my family above all else.
I love this planet it is so incredibly beautiful
I love working on computers that is what I do for a living
I love playing with my dog she knows many different tricks
The holidays are my favorite time of hear
I hate winter with a passion except for the holidays
I have a hobby making miniature gnomes and ghost mushrooms.",61,Female,White,United States,United States,United States,English,No,Part-Time,English,"I am currently retired from full time work.
I love working with computers.
I have 2 kids.
I like reading.
I like swimming.
Florida is my favorite state.
I love gardening.
I enjoy working with kids.
I believe in Jesus.
I have 2 grand kids.
I hate winter.
I have a super smart dog
I live in a very cold state.
I eat mostly healthy food.
My favorite food is salad.
I am allergic to cats.
I have a very large yard.
I have a small house.
I like working with refinishing furniture.",62,Female,White,United States,United States,United States,English,,
train_0032,"I am a fair-minded, compassionate person who believes in every individual's rights and freedoms. A college graduate, I have studied and worked with many different personality types. While I don't believe in judging a book by its cover, I act on logic, common sense and my intuition when navigating through a situation, relationship, job or personal issue. It is my firm belief that every person has the potential for doing good, although someone might have unsolvable problems in their life. I have a very strong sense of what is morally right and wrong. My faith has guided me through difficult times. It is important to live in the moment but still have an open mind toward the future. I'm not the kind of person who is vengeful even when a wrong is directed toward me.",71,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,"People who know me well will say I'm always truthful and treat others the way I want to be treated. I am very patient and also persistent, not stopping to work on a job before it's completed. I'm not judgmental and believe in giving everyone an equal chance to succeed. I believe in respecting others and being decent at the very least. My favorite hobbies include making things to give to others, including charitable donations, spending time with family and wishing the best for everyone.",73,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
train_0033,"Scientist
Engineer 
Musician
Husband
Father
Traveler
Reader
Golfer
Boater
Computer Expert
Liberal
American
Hiker
Scholar
Lego enthusiast
Drummer
Percussionist
Drum and Bugle Corps Enthusiast
Blogger
Web Page designer",61,Male,White,United States,United States,United States,English,No,Full-Time,English,"Father
Husband
Engineer
Scientist
Musician 
World Traveler 
Computer enthusiast
Reader
Drum and bulge corps enthusiast
Sailer
Swimmer
Golfer
Gourmand 
Skeptic",62,Male,White,United States,United States,United States,English,,
train_0034,"I am a 34 year old, married woman. I have three children and two big dogs, all of whom I adore. I enjoy cooking, baking, working out, walking, jogging, watching movies and being by the water. I love going to the lake, mountains and the beach. I enjoy camping and hiking. I am currently a stay at home Mom and I really love it. I used to work at a large hospital as a Clinical Dietitian. I love summertime. I love iced coffee.",34,Female,White,South Africa,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,"I am a mother to three adorable children. I am a registered dietitian. I am kind, smart, compassionate and loyal. I like to read. I grew up in South Africa. I went to an all girls high school. I like to go on walks. I love dogs. I love chocolate. I love coffee. I love the color green. I love the beach. I would love to own a house on the beach. I like to swim. I recently started playing pickleball. I love being a mom. I have been married for eleven years. I love where I live. I love watching the show Survivor. I do not like being cold.",36,Female,White,South Africa,United States,United States,English,,
